Accession	Gene_name	Protein_name
P30613	PKLR;PK1;PKL	Pyruvate kinase PKLR
P30679	GNA15;GNA16	Guanine nucleotide-binding protein subunit alpha-15
P30740	SERPINB1;ELANH2;MNEI;PI2	Leukocyte elastase inhibitor
P30825	SLC7A1;ATRC1;ERR;REC1L	High affinity cationic amino acid transporter 1
P30837	ALDH1B1;ALDH5;ALDHX	Aldehyde dehydrogenase X, mitochondrial
P30876	POLR2B	DNA-directed RNA polymerase II subunit RPB2
P30991	NA	C-X-C chemokine receptor type 4
P31040	SDHA;SDH2;SDHF	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
P31146	CORO1A;CORO1	Coronin-1A
P31150	GDI1;GDIL;OPHN2;RABGDIA;XAP4	Rab GDP dissociation inhibitor alpha
P31152	MAPK4;ERK4;PRKM4	Mitogen-activated protein kinase 4
P31327	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial
P31431	SDC4	Syndecan-4
P31629	HIVEP2	Transcription factor HIVEP2
P31639	SLC5A2;SGLT2	Sodium/glucose cotransporter 2
P31689	DNAJA1;DNAJ2;HDJ2;HSJ2;HSPF4	DnaJ homolog subfamily A member 1
P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
P31937	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial
P31939	ATIC;PURH;OK/SW-cl.86	Bifunctional purine biosynthesis protein PURH
P31942	HNRNPH3;HNRPH3	Heterogeneous nuclear ribonucleoprotein H3
P31943	HNRNPH1;HNRPH;HNRPH1	Heterogeneous nuclear ribonucleoprotein H
P31946	YWHAB	14-3-3 protein beta/alpha
P31947	SFN;HME1	14-3-3 protein sigma
P31948	STIP1	Stress-induced-phosphoprotein 1
P31949	S100A11;MLN70;S100C	Protein S100-A11
P31997	CEACAM8;CGM6	Carcinoembryonic antigen-related cell adhesion molecule 8
P32004	L1CAM;CAML1;MIC5	Neural cell adhesion molecule L1
P32119	PRDX2;NKEFB;TDPX1	Peroxiredoxin-2
P32121	ARRB2;ARB2;ARR2	Beta-arrestin-2
P32189	GK	Glycerol kinase
P32391	ACTR3; ARP3	Actin-related protein 3
P32856	STX2;EPIM;STX2A;STX2B;STX2C	Syntaxin-2
P32926	DSG3;CDHF6	Desmoglein-3
P32942	ICAM3	Intercellular adhesion molecule 3
P32969	RPL9;OK/SW-cl.103;RPL9P7;RPL9P8;RPL9P9	60S ribosomal protein L9
P33121	ACSL1;FACL1;FACL2;LACS;LACS1;LACS2	Long-chain-fatty-acid--CoA ligase 1
P33151	CDH5	Cadherin-5
P33176	KIF5B;KNS;KNS1	Kinesin-1 heavy chain
P33241	LSP1;WP34	Lymphocyte-specific protein 1
P33316	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
P33402	GUCY1A2;GUC1A2;GUCSA2	Guanylate cyclase soluble subunit alpha-2
P33527	ABCC1;MRP;MRP1	Multidrug resistance-associated protein 1
P33764	S100A3;S100E	Protein S100-A3
P33778	HIST1H2BB;H2BFF	Histone H2B type 1-B
P33897	ABCD1;ALD	ATP-binding cassette sub-family D member 1
P33908	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA
P33947	KDELR2;ERD2.2	ER lumen protein-retaining receptor 2
P33991	MCM4;CDC21	DNA replication licensing factor MCM4
P33992	MCM5;CDC46	DNA replication licensing factor MCM5
P33993	MCM7;CDC47;MCM2	DNA replication licensing factor MCM7
P34820	BMP8B;BMP8	Bone morphogenetic protein 8B
P34897	SHMT2	Serine hydroxymethyltransferase, mitochondrial
P34910	EVI2B;EVDB	Protein EVI2B
P34931	HSPA1L	Heat shock 70 kDa protein 1-like
P34932	HSPA4;APG2	Heat shock 70 kDa protein 4
P35052	GPC1	Glypican-1
P35080	PFN2	Profilin-2
P35221	CTNNA1	Catenin alpha-1
P35221-1	CTNNA1 	Catenin alpha-1
P35222	CTNNB1;CTNNB;OK/SW-cl.35;PRO2286	Catenin beta-1
P35232	PHB	Prohibitin
P35237	SERPINB6;PI6;PTI	Serpin B6
P35239	NA	Ras-related protein Rab-5B
P35240	NF2;SCH	Merlin
P35241	RDX	Radixin
P35249	RFC4	Replication factor C subunit 4
P35250	RFC2	Replication factor C subunit 2
P35268	RPL22	60S ribosomal protein L22
P35270	SPR	Sepiapterin reductase
P35287	NA	Ras-related protein Rab-14
P35527	KRT9	Keratin, type I cytoskeletal 9
P35576	G6pc;G6pt	Glucose-6-phosphatase
P35579	MYH9	Myosin-9
P35579-1	MYH9 	Myosin-9
P35580	MYH10	Myosin-10
P35606	COPB2	Coatomer subunit beta'
P35609	ACTN2	Alpha-actinin-2
P35610	SOAT1;ACACT;ACACT1;ACAT;ACAT1;SOAT;STAT	Sterol O-acyltransferase 1
P35611	ADD1;ADDA	Alpha-adducin
P35613	BSG;UNQ6505/PRO21383	Basigin
P35613-2	BSG	Isoform 2 of Basigin
P35625	TIMP3	Metalloproteinase inhibitor 3
P35637	FUS;TLS	RNA-binding protein FUS
P35658	NUP214;CAIN;CAN;KIAA0023	Nuclear pore complex protein Nup214
P35659	DEK	Protein DEK
P35749	MYH11;KIAA0866	Myosin-11
P35908	KRT2;KRT2A;KRT2E	Keratin, type II cytoskeletal 2 epidermal
P35916	FLT4;VEGFR3	Vascular endothelial growth factor receptor 3
P35998	PSMC2;MSS1	26S protease regulatory subunit 7
P36269	GGT5;GGTLA1	Gamma-glutamyltransferase 5
P36542	ATP5C1;ATP5C;ATP5CL1	ATP synthase subunit gamma, mitochondrial
P36542-2	ATP5C1	Isoform Heart of ATP synthase subunit gamma, mitochondrial
P36543	ATP6V1E1;ATP6E;ATP6E2	V-type proton ATPase subunit E 1
P36578	RPL4;RPL1	60S ribosomal protein L4
P36776	LONP1;PRSS15	Lon protease homolog, mitochondrial
P36871	PGM1	Phosphoglucomutase-1
P36873	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
P36873-1	PPP1CC 	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
P36957	DLST;DLTS	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
P37023	ACVRL1;ACVRLK1;ALK1	Serine/threonine-protein kinase receptor R3
P37059	HSD17B2;EDH17B2	Estradiol 17-beta-dehydrogenase 2
P37108	SRP14	Signal recognition particle 14 kDa protein
P37198	NUP62	Nuclear pore glycoprotein p62
P37268	FDFT1	Squalene synthase
P37802	TAGLN2;KIAA0120;CDABP0035	Transgelin-2
P37837	TALDO1;TAL;TALDO;TALDOR	Transaldolase
P37840	SNCA;NACP;PARK1	Alpha-synuclein
P38117	ETFB;FP585	Electron transfer flavoprotein subunit beta
P38159	RBMX;HNRPG;RBMXP1	RNA-binding motif protein, X chromosome
P38384	NA	Protein transport protein Sec61 subunit gamma
P38432	COIL;CLN80	Coilin
P38435	GGCX;GC	Vitamin K-dependent gamma-carboxylase
P38567	SPAM1;HYAL3;PH20	Hyaluronidase PH-20
P38606	ATP6V1A;ATP6A1;ATP6V1A1;VPP2	V-type proton ATPase catalytic subunit A
P38646	HSPA9;GRP75;HSPA9B;mt-HSP70	Stress-70 protein, mitochondrial
P38657	PDIA3;GRP58	Protein disulfide-isomerase A3
P38663	NA	60S ribosomal protein L24
P38919	EIF4A3;DDX48;KIAA0111	Eukaryotic initiation factor 4A-III
P39019	RPS19	40S ribosomal protein S19
P39023	RPL3;OK/SW-cl.32	60S ribosomal protein L3
P39028	NA	40S ribosomal protein S23
P39030	RPL15; EC45	60S ribosomal protein L15
P39210	MPV17	Protein Mpv17
P39656	DDOST;KIAA0115;OST48;OK/SW-cl.45	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
P39748	FEN1;RAD2	Flap endonuclease 1
P39880	CUX1;CUTL1	Homeobox protein cut-like 1
P40145	ADCY8	Adenylate cyclase type 8
P40189	IL6ST	Interleukin-6 receptor subunit beta
P40197	GP5	Platelet glycoprotein V
P40199	CEACAM6;NCA	Carcinoembryonic antigen-related cell adhesion molecule 6
P40222	TXLNA;TXLN	Alpha-taxilin
P40227	CCT6A;CCT6;CCTZ	T-complex protein 1 subunit zeta
P40261	NNMT	Nicotinamide N-methyltransferase
P40429	RPL13A	60S ribosomal protein L13a
P40616	ARL1	ADP-ribosylation factor-like protein 1
P40763	STAT3;APRF	Signal transducer and activator of transcription 3
P40818	USP8;KIAA0055;UBPY	Ubiquitin carboxyl-terminal hydrolase 8
P40925	MDH1;MDHA	Malate dehydrogenase, cytoplasmic
P40926	MDH2	Malate dehydrogenase, mitochondrial
P40939	HADHA;HADH	Trifunctional enzyme subunit alpha, mitochondrial
P41091	EIF2S3;EIF2G	Eukaryotic translation initiation factor 2 subunit 3
P41219	PRPH;NEF4;PRPH1	Peripherin
P41223	BUD31;EDG2	Protein BUD31 homolog
P41240	CSK	Tyrosine-protein kinase CSK
P41250	GARS	Glycine--tRNA ligase
P41252	IARS	Isoleucine--tRNA ligase, cytoplasmic
P41440	SLC19A1;FLOT1;RFC1	Folate transporter 1
P41567	EIF1;SUI1	Eukaryotic translation initiation factor 1
P41743	PRKCI;DXS1179E	Protein kinase C iota type
P42126	ECI1;DCI	Enoyl-CoA delta isomerase 1, mitochondrial
P42166	TMPO;LAP2	Lamina-associated polypeptide 2, isoform alpha
P42167	TMPO;LAP2	Lamina-associated polypeptide 2, isoforms beta/gamma
P42224	STAT1	Signal transducer and activator of transcription 1-alpha/beta
P42229	STAT5A;STAT5	Signal transducer and activator of transcription 5A
P42285	SKIV2L2;KIAA0052;Mtr4	Superkiller viralicidic activity 2-like 2
P42336	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
P42356	PI4KA;PIK4;PIK4CA	Phosphatidylinositol 4-kinase alpha
P42566	EPS15;AF1P	Epidermal growth factor receptor substrate 15
P42655	NA	14-3-3 protein epsilon
P42685	FRK;PTK5;RAK	Tyrosine-protein kinase FRK
P42695	NCAPD3;CAPD3;KIAA0056	Condensin-2 complex subunit D3
P42704	LRPPRC;LRP130	Leucine-rich PPR motif-containing protein, mitochondrial
P42765	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial
P42766	RPL35	60S ribosomal protein L35
P42768	WAS;IMD2	Wiskott-Aldrich syndrome protein
P42785	PRCP;PCP	Lysosomal Pro-X carboxypeptidase
P42892	ECE1	Endothelin-converting enzyme 1
P43004	SLC1A2;EAAT2;GLT1	Excitatory amino acid transporter 2
P43007	SLC1A4;ASCT1;SATT	Neutral amino acid transporter A
P43034	PAFAH1B1;LIS1;MDCR;MDS;PAFAHA	Platelet-activating factor acetylhydrolase IB subunit alpha
P43121	MCAM;MUC18	Cell surface glycoprotein MUC18
P43121-1	MCAM 	Cell surface glycoprotein MUC18
P43146	DCC;IGDCC1	Netrin receptor DCC
P43243	MATR3;KIAA0723	Matrin-3
P43246	MSH2	DNA mismatch repair protein Msh2
P43268	ETV4;E1AF;PEA3	ETS translocation variant 4
P43304	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial
P43304-2	GPD2	Isoform 2 of Glycerol-3-phosphate dehydrogenase, mitochondrial
P43307	SSR1;TRAPA;PSEC0262	Translocon-associated protein subunit alpha
P43307-1	SSR1 	Translocon-associated protein subunit alpha
P43308	SSR2;TRAPB;HSD25	Translocon-associated protein subunit beta
P43353	ALDH3B1;ALDH7	Aldehyde dehydrogenase family 3 member B1
P43403	ZAP70;SRK	Tyrosine-protein kinase ZAP-70
P43405	SYK	Tyrosine-protein kinase SYK
P43487	RANBP1	Ran-specific GTPase-activating protein
P43686	PSMC4;MIP224;TBP7	26S protease regulatory subunit 6B
P43686-2	PSMC4	Isoform 2 of 26S protease regulatory subunit 6B
P45379	TNNT2	Troponin T, cardiac muscle
P45877	PPIC;CYPC	Peptidyl-prolyl cis-trans isomerase C
P45880	VDAC2	Voltage-dependent anion-selective channel protein 2
P45974	USP5;ISOT	Ubiquitin carboxyl-terminal hydrolase 5
P46013	MKI67	Antigen KI-67
P46060	RANGAP1;KIAA1835;SD	Ran GTPase-activating protein 1
P46100	ATRX;RAD54L;XH2	Transcriptional regulator ATRX
P46108	CRK	Adapter molecule crk
P46379	BAG6;BAT3;G3	Large proline-rich protein BAG6
P46459	NSF	Vesicle-fusing ATPase
P46776	RPL27A	60S ribosomal protein L27a
P46777	RPL5;MSTP030	60S ribosomal protein L5
P46778	RPL21	60S ribosomal protein L21
P46779	RPL28	60S ribosomal protein L28
P46781	RPS9	40S ribosomal protein S9
P46782	RPS5	40S ribosomal protein S5
P46783	RPS10	40S ribosomal protein S10
P46821	MAP1B	Microtubule-associated protein 1B
P46939	UTRN;DMDL;DRP1	Utrophin
P46940	IQGAP1;KIAA0051	Ras GTPase-activating-like protein IQGAP1
P46977	STT3A;ITM1;TMC	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
P47224	RABIF;MSS4;RASGRF3	Guanine nucleotide exchange factor MSS4
P47755	CAPZA2	F-actin-capping protein subunit alpha-2
P47756	CAPZB	F-actin-capping protein subunit beta
P47756-2	CAPZB	Isoform 2 of F-actin-capping protein subunit beta
P47895	ALDH1A3;ALDH6	Aldehyde dehydrogenase family 1 member A3
P47914	RPL29	60S ribosomal protein L29
P47929	LGALS7;PIG1;LGALS7B	Galectin-7
P47985	UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
P48047	ATP5O;ATPO	ATP synthase subunit O, mitochondrial
P48060	GLIPR1;GLIPR;RTVP1	Glioma pathogenesis-related protein 1
P48147	PREP;PEP	Prolyl endopeptidase
P48201	ATP5G3	ATP synthase F
P48426	PIP4K2A;PIP5K2;PIP5K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P48448	ALDH3B2;ALDH8	Aldehyde dehydrogenase family 3 member B2
P48449	LSS;OSC	Lanosterol synthase
P48509	CD151;TSPAN24	CD151 antigen
P48552	NRIP1	Nuclear receptor-interacting protein 1
P48634	PRRC2A;BAT2;G2	Protein PRRC2A
P48643	CCT5;CCTE;KIAA0098	T-complex protein 1 subunit epsilon
P48651	PTDSS1;KIAA0024;PSSA	Phosphatidylserine synthase 1
P48666	NA	Keratin, type II cytoskeletal 6C
P48668	KRT6C;KRT6E	Keratin, type II cytoskeletal 6C
P48681	NES;Nbla00170	Nestin
P48735	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial
P48739	PITPNB	Phosphatidylinositol transfer protein beta isoform
P48741	HSPA7;HSP70B	Putative heat shock 70 kDa protein 7
P48775	TDO2;TDO	Tryptophan 2,3-dioxygenase
P48960	CD97	CD97 antigen
P49006	MARCKSL1;MLP;MRP	MARCKS-related protein
P49019	HCAR3;GPR109B;HCA3;HM74B;NIACR2	Hydroxycarboxylic acid receptor 3
P49137	MAPKAPK2	MAP kinase-activated protein kinase 2
P49184	DNASE1L1;DNAS1L1;DNL1L	Deoxyribonuclease-1-like 1
P49190	PTH2R;PTHR2	Parathyroid hormone 2 receptor
P49207	RPL34	60S ribosomal protein L34
P49257	LMAN1;ERGIC53;F5F8D	Protein ERGIC-53
P49321	NASP	Nuclear autoantigenic sperm protein
P49327	FASN;FAS	Fatty acid synthase
P49368	CCT3;CCTG;TRIC5	T-complex protein 1 subunit gamma
P49406	MRPL19;KIAA0104;MRPL15	39S ribosomal protein L19, mitochondrial
P49407	ARRB1;ARR1	Beta-arrestin-1
P49411	TUFM	Elongation factor Tu, mitochondrial
P49427	CDC34;UBCH3;UBE2R1	Ubiquitin-conjugating enzyme E2 R1
P49447	CYB561	Cytochrome b561
P49458-1	SRP9 	Signal recognition particle 9 kDa protein
P49588	AARS	Alanine--tRNA ligase, cytoplasmic
P49591	SARS;SERS	Serine--tRNA ligase, cytoplasmic
P49720	PSMB3	Proteasome subunit beta type-3
P49736	MCM2;BM28;CCNL1;CDCL1;KIAA0030	DNA replication licensing factor MCM2
P49747	COMP	Cartilage oligomeric matrix protein
P49748	ACADVL;VLCAD	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
P49754	VPS41	Vacuolar protein sorting-associated protein 41 homolog
P49755	TMED10;TMP21	Transmembrane emp24 domain-containing protein 10
P49768	PSEN1;AD3;PS1;PSNL1	Presenilin-1
P49770	EIF2B2;EIF2BB	Translation initiation factor eIF-2B subunit beta
P49773	HINT1;HINT;PKCI1;PRKCNH1	Histidine triad nucleotide-binding protein 1
P49792	RANBP2;NUP358	E3 SUMO-protein ligase RanBP2
P49795	RGS19;GAIP;GNAI3IP	Regulator of G-protein signaling 19
P49802	RGS7	Regulator of G-protein signaling 7
P49821	NDUFV1;UQOR1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
P49841	GSK3B	Glycogen synthase kinase-3 beta
P49848	TAF6;TAF2E;TAFII70	Transcription initiation factor TFIID subunit 6
P49915	GMPS	GMP synthase [glutamine-hydrolyzing]
P49916	LIG3	DNA ligase 3
P49916-2	LIG3	Isoform Beta of DNA ligase 3
P50148	GNAQ;GAQ	Guanine nucleotide-binding protein G
P50151	GNG10;GNGT10	Guanine nucleotide-binding protein G subunit gamma-10
P50213	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
P50281	MMP14	Matrix metalloproteinase-14
P50395	GDI2;RABGDIB	Rab GDP dissociation inhibitor beta
P50402	EMD;EDMD;STA	Emerin
P50416	CPT1A;CPT1	Carnitine O-palmitoyltransferase 1, liver isoform
P50416-1	CPT1A 	Carnitine O-palmitoyltransferase 1, liver isoform
P50443	SLC26A2;DTD;DTDST	Sulfate transporter
P50454	SERPINH1;CBP1;CBP2;HSP47;SERPINH2;PIG14	Serpin H1
P50502	ST13;AAG2;FAM10A1;HIP;SNC6	Hsc70-interacting protein
P50549	ETV1;ER81	ETS translocation variant 1
P50552	VASP	Vasodilator-stimulated phosphoprotein
P50570	DNM2;DYN2	Dynamin-2
P50613	CDK7;CAK;CAK1;CDKN7;MO15;STK1	Cyclin-dependent kinase 7
P50895	BCAM;LU;MSK19	Basal cell adhesion molecule
P50897	PPT1;PPT	Palmitoyl-protein thioesterase 1
P50914	RPL14	60S ribosomal protein L14
P50990	CCT8;C21orf112;CCTQ;KIAA0002	T-complex protein 1 subunit theta
P50991	CCT4;CCTD;SRB	T-complex protein 1 subunit delta
P50993	ATP1A2;KIAA0778	Sodium/potassium-transporting ATPase subunit alpha-2
P50995	ANXA11;ANX11	Annexin A11
P51114	FXR1	Fragile X mental retardation syndrome-related protein 1
P51114-3	FXR1	Isoform 3 of Fragile X mental retardation syndrome-related protein 1
P51116	FXR2;FMR1L2	Fragile X mental retardation syndrome-related protein 2
P51124	GZMM;MET1	Granzyme M
P51148	RAB5C;RABL	Ras-related protein Rab-5C
P51149	RAB7A;RAB7	Ras-related protein Rab-7a
P51151	RAB9A;RAB9	Ras-related protein Rab-9A
P51153	RAB13;GIG4	Ras-related protein Rab-13
P51178	PLCD1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1
P51398	DAP3;MRPS29	28S ribosomal protein S29, mitochondrial
P51451	BLK	Tyrosine-protein kinase Blk
P51571	SSR4;TRAPD	Translocon-associated protein subunit delta
P51572	BCAP31;BAP31;DXS1357E	B-cell receptor-associated protein 31
P51587	BRCA2;FACD;FANCD1	Breast cancer type 2 susceptibility protein
P51610	HCFC1;HCF1;HFC1	Host cell factor 1
P51636	CAV2	Caveolin-2
P51636-2	CAV2	Isoform Beta of Caveolin-2
P51648	ALDH3A2;ALDH10;FALDH	Fatty aldehyde dehydrogenase
P51648-1	ALDH3A2 	Fatty aldehyde dehydrogenase
P51649	ALDH5A1;SSADH	Succinate-semialdehyde dehydrogenase, mitochondrial
P51654	GPC3;OCI5	Glypican-3
P51659	HSD17B4;EDH17B4	Peroxisomal multifunctional enzyme type 2
P51665	PSMD7;MOV34L	26S proteasome non-ATPase regulatory subunit 7
P51679	CCR4;CMKBR4	C-C chemokine receptor type 4
P51790	CLCN3	H(+)/Cl(-) exchange transporter 3
P51797	CLCN6;KIAA0046	Chloride transport protein 6
P51798	CLCN7	H(+)/Cl(-) exchange transporter 7
P51809	VAMP7;SYBL1	Vesicle-associated membrane protein 7
P51828	ADCY7;KIAA0037	Adenylate cyclase type 7
P51970	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
P51991	HNRNPA3;HNRPA3	Heterogeneous nuclear ribonucleoprotein A3
P52209	PGD;PGDH	6-phosphogluconate dehydrogenase, decarboxylating
P52272	HNRNPM;HNRPM;NAGR1	Heterogeneous nuclear ribonucleoprotein M
P52272-2	HNRNPM	Isoform 2 of Heterogeneous nuclear ribonucleoprotein M
P52292	KPNA2;RCH1;SRP1	Importin subunit alpha-1
P52306	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1
P52429	DGKE;DAGK5	Diacylglycerol kinase epsilon
P52434	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3
P52565	ARHGDIA;GDIA1	Rho GDP-dissociation inhibitor 1
P52566	ARHGDIB;GDIA2;GDID4;RAP1GN1	Rho GDP-dissociation inhibitor 2
P52569	SLC7A2;ATRC2;CAT2	Low affinity cationic amino acid transporter 2
P52597	HNRNPF;HNRPF	Heterogeneous nuclear ribonucleoprotein F
P52732	KIF11;EG5;KNSL1;TRIP5	Kinesin-like protein KIF11
P52742	ZNF135;ZNF61;ZNF78L1	Zinc finger protein 135
P52790	HK3	Hexokinase-3
P52803	EFNA5;EPLG7;LERK7	Ephrin-A5
P52815	MRPL12;RPML12	39S ribosomal protein L12, mitochondrial
P52849	NDST2;HSST2	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2
P52907	CAPZA1	F-actin-capping protein subunit alpha-1
P52943	CRIP2;CRP2	Cysteine-rich protein 2
P52948	NUP98;ADAR2	Nuclear pore complex protein Nup98-Nup96
P53007	SLC25A1;SLC20A3	Tricarboxylate transport protein, mitochondrial
P53396	ACLY	ATP-citrate synthase
P53582	METAP1;KIAA0094	Methionine aminopeptidase 1
P53618	COPB1;COPB;MSTP026	Coatomer subunit beta
P53621	COPA	Coatomer subunit alpha ; Proxenin
P53621-1	COPA 	Coatomer subunit alpha
P53634	CTSC;CPPI	Dipeptidyl peptidase 1
P53680	AP2S1;AP17;CLAPS2	AP-2 complex subunit sigma
P53701	HCCS;CCHL	Cytochrome c-type heme lyase
P53801	PTTG1IP;C21orf1;C21orf3	Pituitary tumor-transforming gene 1 protein-interacting protein
P53985	SLC16A1;MCT1	Monocarboxylate transporter 1
P53999	SUB1;PC4;RPO2TC1	Activated RNA polymerase II transcriptional coactivator p15
P54105	CLNS1A;CLCI;ICLN	Methylosome subunit pICln
P54136	RARS	Arginine--tRNA ligase, cytoplasmic
P54136-2	RARS	Isoform Monomeric of Arginine--tRNA ligase, cytoplasmic
P54219	SLC18A1;VAT1;VMAT1	Chromaffin granule amine transporter
P54289	CACNA2D1;CACNL2A;CCHL2A;MHS3	Voltage-dependent calcium channel subunit alpha-2/delta-1
P54577	YARS	Tyrosine--tRNA ligase, cytoplasmic
P54578	USP14;TGT	Ubiquitin carboxyl-terminal hydrolase 14
P54652	HSPA2	Heat shock-related 70 kDa protein 2
P54707	ATP12A;ATP1AL1	Potassium-transporting ATPase alpha chain 2
P54709	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3
P54710	FXYD2;ATP1C;ATP1G1	Sodium/potassium-transporting ATPase subunit gamma
P54725	RAD23A	UV excision repair protein RAD23 homolog A
P54727	RAD23B	UV excision repair protein RAD23 homolog B
P54753	EPHB3;ETK2;HEK2;TYRO6	Ephrin type-B receptor 3
P54760	EPHB4;HTK;MYK1;TYRO11	Ephrin type-B receptor 4
P54819	AK2;ADK2	Adenylate kinase 2, mitochondrial
P54886	ALDH18A1;GSAS;P5CS;PYCS	Delta-1-pyrroline-5-carboxylate synthase
P54920	NAPA;SNAPA	Alpha-soluble NSF attachment protein
P55010	EIF5	Eukaryotic translation initiation factor 5
P55011	SLC12A2;NKCC1	Solute carrier family 12 member 2
P55011-3	SLC12A2	Isoform 2 of Solute carrier family 12 member 2
P55036	PSMD4;MCB1	26S proteasome non-ATPase regulatory subunit 4
P55060	CSE1L;CAS;XPO2	Exportin-2
P55060-3	CSE1L	Isoform 3 of Exportin-2
P55061	TMBIM6;BI1;TEGT	Bax inhibitor 1
P55064	AQP5	Aquaporin-5
P55072	VCP	Transitional endoplasmic reticulum ATPase
P55084	HADHB;MSTP029	Trifunctional enzyme subunit beta, mitochondrial
P55160	NCKAP1L;HEM1	Nck-associated protein 1-like
P55209	NAP1L1;NRP	Nucleosome assembly protein 1-like 1
P55265	ADAR;ADAR1;DSRAD;G1P1;IFI4	Double-stranded RNA-specific adenosine deaminase
P55268	LAMB2;LAMS	Laminin subunit beta-2
P55283	CDH4	Cadherin-4
P55287	CDH11	Cadherin-11
P55290	CDH13;CDHH	Cadherin-13
P55327	TPD52	Tumor protein D52
P55735	SEC13;D3S1231E;SEC13L1;SEC13R	Protein SEC13 homolog
P55769	NHP2L1	NHP2-like protein 1
P55786	NPEPPS;PSA	Puromycin-sensitive aminopeptidase
P55795	HNRNPH2;FTP3;HNRPH2	Heterogeneous nuclear ribonucleoprotein H2
P55809	OXCT1;OXCT;SCOT	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
P55884	EIF3B;EIF3S9	Eukaryotic translation initiation factor 3 subunit B
P55957	BID	BH3-interacting domain death agonist
P56134	ATP5J2;ATP5JL	ATP synthase subunit f, mitochondrial
P56159	GFRA1;GDNFRA;RETL1;TRNR1	GDNF family receptor alpha-1
P56159-2	GFRA1	Isoform 2 of GDNF family receptor alpha-1
P56181	NDUFV3	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
P56181-2	NDUFV3	Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
P56192	MARS	Methionine--tRNA ligase, cytoplasmic
P56199	ITGA1	Integrin alpha-1
P56202	CTSW	Cathepsin W
P56378	MP68;C14orf2;PRO1574	6.8 kDa mitochondrial proteolipid
P56385	ATP5I;ATP5K	ATP synthase subunit e, mitochondrial
P56537	EIF6;EIF3A;ITGB4BP;OK/SW-cl.27	Eukaryotic translation initiation factor 6
P56556	NDUFA6;LYRM6;NADHB14	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
P56589	PEX3	Peroxisomal biogenesis factor 3
P56645	PER3;GIG13	Period circadian protein homolog 3
P56749	CLDN12	Claudin-12
P56851	EDDM3B;FAM12B;HE3B;UNQ6412/PRO21187	Epididymal secretory protein E3-beta
P57053	H2BFS	Histone H2B type F-S
P57088	TMEM33;DB83	Transmembrane protein 33
P57105	SYNJ2BP;OMP25	Synaptojanin-2-binding protein
P57678	GEMIN4	Gem-associated protein 4
